order_id,customer_id,order_datetime,city,is_member,age_group,category,items_count,discount_pct,order_value,payment_method,distance_km,is_raining,prep_time_min,promised_time_min,delivery_time_min,rating,refund_requested,order_date,month,month_name,weekday,dow,is_weekend,hour,day_part,is_peak,delay_min,is_delayed,gross_value,discount_amount,distance_band,delay_bucket
ORD109672,C02426,2025-06-10 07:31:00,Hyderabad,False,25-34,Instant & Frozen Food,2,0,200.17,UPI,1.12,True,5.6,10,11.1,5.0,False,2025-06-10,6,Jun,Tuesday,1,0,7,Morning,0,1.0999999999999996,1,200.17,0.0,1-2 km,1-3 min late
ORD126137,C01833,2025-04-10 16:49:00,Mumbai,True,25-34,Cold Drinks & Juices,2,0,119.71,UPI,0.53,False,6.1,10,8.1,5.0,False,2025-04-10,4,Apr,Thursday,3,0,16,Afternoon,0,0.0,0,119.71,0.0,0-1 km,On time
ORD129955,C01277,2025-02-24 19:01:00,Delhi NCR,False,25-34,"Atta, Rice & Dal",1,0,72.83,UPI,3.16,False,2.9,18,12.6,4.0,False,2025-02-24,2,Feb,Monday,0,0,19,Evening,1,0.0,0,72.83,0.0,3-4 km,On time
ORD118879,C00174,2025-12-05 19:25:00,Kolkata,False,45+,Dairy & Bread,3,0,344.18,Wallet,1.56,True,4.7,14,12.4,,False,2025-12-05,12,Dec,Friday,4,0,19,Evening,1,0.0,0,344.18,0.0,1-2 km,On time
ORD122479,C00547,2025-06-14 19:33:00,Mumbai,True,25-34,Dairy & Bread,6,0,604.36,Credit/Debit Card,1.41,False,5.1,10,10.3,5.0,False,2025-06-14,6,Jun,Saturday,5,1,19,Evening,1,0.3000000000000007,1,604.36,0.0,1-2 km,1-3 min late
ORD113235,C01575,2025-03-08 20:45:00,Delhi NCR,True,35-44,Snacks & Munchies,2,15,129.37,Pay Later,1.68,False,3.6,14,10.3,5.0,False,2025-03-08,3,Mar,Saturday,5,1,20,Evening,1,0.0,0,152.20000000000002,22.830000000000013,1-2 km,On time
ORD102532,C01993,2025-06-03 09:27:00,Mumbai,True,35-44,"Atta, Rice & Dal",3,0,474.93,Pay Later,2.17,True,2.5,14,13.0,5.0,False,2025-06-03,6,Jun,Tuesday,1,0,9,Morning,1,0.0,0,474.93,0.0,2-3 km,On time
ORD114867,C00185,2025-05-10 12:42:00,Hyderabad,True,18-24,Cold Drinks & Juices,1,0,70.29,Wallet,0.96,True,2.0,10,5.2,5.0,False,2025-05-10,5,May,Saturday,5,1,12,Afternoon,0,0.0,0,70.29,0.0,0-1 km,On time
ORD131376,C02632,2025-10-08 21:52:00,Mumbai,False,18-24,Fruits & Vegetables,3,10,223.68,Cash on Delivery,6.59,False,3.5,22,26.8,3.0,False,2025-10-08,10,Oct,Wednesday,2,0,21,Evening,1,4.800000000000001,1,248.53333333333333,24.853333333333325,4+ km,3-6 min late
ORD101837,C00604,2025-09-05 21:24:00,Hyderabad,True,18-24,Dairy & Bread,8,0,501.37,UPI,0.46,False,5.7,10,9.0,5.0,False,2025-09-05,9,Sep,Friday,4,0,21,Evening,1,0.0,0,501.37,0.0,0-1 km,On time
ORD128477,C02403,2025-11-05 16:55:00,Hyderabad,False,25-34,Dairy & Bread,5,0,229.41,UPI,1.15,False,3.6,10,9.9,5.0,False,2025-11-05,11,Nov,Wednesday,2,0,16,Afternoon,0,0.0,0,229.41,0.0,1-2 km,On time
ORD124585,C00746,2025-07-11 21:52:00,Mumbai,True,35-44,Electronics & Accessories,2,0,1120.89,UPI,2.21,False,3.2,14,11.4,,False,2025-07-11,7,Jul,Friday,4,0,21,Evening,1,0.0,0,1120.89,0.0,2-3 km,On time
ORD126391,C02505,2025-04-24 17:23:00,Delhi NCR,False,35-44,Dairy & Bread,6,0,233.01,UPI,0.47,False,3.0,10,5.3,4.0,False,2025-04-24,4,Apr,Thursday,3,0,17,Evening,0,0.0,0,233.01,0.0,0-1 km,On time
ORD124243,C00048,2025-11-29 11:12:00,Mumbai,True,25-34,Fruits & Vegetables,3,20,208.21,Credit/Debit Card,0.68,False,3.1,10,8.3,5.0,False,2025-11-29,11,Nov,Saturday,5,1,11,Morning,0,0.0,0,260.2625,52.05249999999998,0-1 km,On time
ORD101981,C01576,2025-02-28 20:57:00,Delhi NCR,False,18-24,Chocolates & Sweets,4,0,272.34,UPI,1.47,False,3.3,10,9.8,4.0,False,2025-02-28,2,Feb,Friday,4,0,20,Evening,1,0.0,0,272.34,0.0,1-2 km,On time
ORD115031,C02734,2025-02-09 11:27:00,Mumbai,False,35-44,Snacks & Munchies,4,0,170.93,UPI,0.92,False,3.3,10,9.3,4.0,False,2025-02-09,2,Feb,Sunday,6,1,11,Morning,0,0.0,0,170.93,0.0,0-1 km,On time
ORD124497,C00985,2025-03-28 21:16:00,Delhi NCR,True,25-34,Snacks & Munchies,4,0,216.47,Wallet,2.04,False,4.0,14,11.8,5.0,False,2025-03-28,3,Mar,Friday,4,0,21,Evening,1,0.0,0,216.47,0.0,2-3 km,On time
ORD110781,C00812,2025-08-15 06:50:00,Delhi NCR,True,18-24,Snacks & Munchies,2,0,71.82,UPI,2.8,False,4.1,14,14.6,5.0,False,2025-08-15,8,Aug,Friday,4,0,6,Morning,0,0.5999999999999996,1,71.82,0.0,2-3 km,1-3 min late
ORD103792,C00048,2025-11-26 20:33:00,Mumbai,True,25-34,"Atta, Rice & Dal",3,0,309.15,UPI,2.37,False,4.8,14,13.6,5.0,False,2025-11-26,11,Nov,Wednesday,2,0,20,Evening,1,0.0,0,309.15,0.0,2-3 km,On time
ORD105777,C02968,2025-10-27 08:56:00,Mumbai,True,25-34,Fruits & Vegetables,2,15,110.62,Credit/Debit Card,3.01,False,2.4,18,14.9,5.0,False,2025-10-27,10,Oct,Monday,0,0,8,Morning,1,0.0,0,130.14117647058825,19.521176470588244,3-4 km,On time
