customer_id,recency,frequency,monetary,cluster,segment
C00002,141,19,7720.7699999999995,3,At-Risk (Fading Regulars)
C00003,196,5,2241.54,3,At-Risk (Fading Regulars)
C00004,4,36,10077.31,2,Champions
C00005,249,3,1546.78,3,At-Risk (Fading Regulars)
C00006,9,13,6533.21,2,Champions
C00007,79,7,1925.73,3,At-Risk (Fading Regulars)
C00008,277,3,556.84,1,Lapsed / Low-Value
C00009,4,7,1847.16,0,Active Regulars
C00010,251,6,1248.06,3,At-Risk (Fading Regulars)
C00011,354,1,406.2,1,Lapsed / Low-Value
C00012,13,14,3886.5099999999998,0,Active Regulars
C00013,62,48,15623.42,2,Champions
C00014,14,4,936.49,0,Active Regulars
C00015,15,10,5139.5,0,Active Regulars
C00016,228,9,2796.48,3,At-Risk (Fading Regulars)
C00017,36,9,2700.6,0,Active Regulars
C00018,9,20,4750.42,2,Champions
C00019,207,5,1286.21,3,At-Risk (Fading Regulars)
C00021,24,2,293.94,1,Lapsed / Low-Value
C00022,122,3,595.6899999999999,1,Lapsed / Low-Value
C00023,196,1,163.38,1,Lapsed / Low-Value
C00024,24,9,2821.16,0,Active Regulars
C00027,53,5,1110.19,3,At-Risk (Fading Regulars)
C00028,4,41,14216.15,2,Champions
C00029,35,6,957.11,3,At-Risk (Fading Regulars)
C00030,194,5,989.81,3,At-Risk (Fading Regulars)
C00031,4,25,8230.89,2,Champions
C00033,3,55,15717.2,2,Champions
C00034,256,2,1327.01,1,Lapsed / Low-Value
C00035,5,5,1502.44,0,Active Regulars
C00036,3,36,14424.67,2,Champions
C00037,35,2,423.73,1,Lapsed / Low-Value
C00038,2,68,24869.08,2,Champions
C00039,6,44,15742.36,2,Champions
C00040,19,4,1201.61,0,Active Regulars
C00041,2,23,8247.0,2,Champions
C00043,14,5,1507.25,0,Active Regulars
C00044,3,13,2786.57,0,Active Regulars
C00045,45,2,338.74,1,Lapsed / Low-Value
C00046,17,5,1242.26,0,Active Regulars
C00047,220,5,2395.49,3,At-Risk (Fading Regulars)
C00048,6,41,14472.17,2,Champions
C00049,8,56,20757.24,2,Champions
C00050,27,7,3640.25,0,Active Regulars
